ip;port;type;ssl;country;latency(msec);uptime(per cent);checked(UTC)
218.100.84.123;8080;Transparent;false;"Mongolia";1402;97;"Jan 22 17:23:31"
202.51.113.81;8080;Transparent;false;"Indonesia";2438;85;"Jan 22 17:23:28"
219.234.82.80;24543;Distorting;false;"China";1283;94;"Jan 22 17:23:03"
217.198.151.246;80;Distorting;false;"Sweden";16993;66;"Jan 22 17:21:57"
202.159.6.98;8080;Transparent;false;"Indonesia";1502;97;"Jan 22 17:21:47"
219.234.82.55;8084;Distorting;false;"China";1379;97;"Jan 22 17:21:05"
202.150.130.82;8080;Transparent;false;"Indonesia";1567;95;"Jan 22 17:21:00"
201.249.29.114;8080;Distorting;false;"Venezuela";3854;90;"Jan 22 17:20:51"
201.242.1.132;8080;Distorting;false;"Venezuela";717;26;"Jan 22 17:20:44"
202.143.185.107;8080;Transparent;false;"Thailand";13889;77;"Jan 22 17:20:44"
219.159.105.180;8080;Transparent;false;"China";6562;95;"Jan 22 17:20:44"
202.138.249.50;3128;Transparent;false;"Indonesia";2171;84;"Jan 22 17:20:15"
202.138.243.222;8080;Transparent;false;"Indonesia";11450;93;"Jan 22 17:20:13"
212.119.105.65;3128;Transparent;false;"Russian Federation";546;81;"Jan 22 17:19:51"
211.99.189.74;8080;Transparent;false;"China";1413;95;"Jan 22 17:19:44"
210.57.215.130;3128;Transparent;false;"Indonesia";4210;85;"Jan 22 17:19:23"
202.112.113.7;80;Distorting;false;"China";11855;68;"Jan 22 17:19:09"
202.107.195.231;80;Distorting;false;"China";12750;77;"Jan 22 17:18:50"
201.218.63.4;8080;Transparent;false;"Ecuador";1318;98;"Jan 22 17:18:43"
202.106.16.116;3128;Transparent;false;"China";2174;98;"Jan 22 17:18:37"
202.105.134.41;808;Anonymous;false;"China";2345;78;"Jan 22 17:18:32"
202.102.58.208;80;Transparent;false;"China";2316;98;"Jan 22 17:18:25"
201.209.41.29;3128;Transparent;false;"Venezuela";7095;93;"Jan 22 17:18:23"
201.161.198.214;8080;Transparent;false;"Mexico";1557;73;"Jan 22 17:18:15"
201.86.70.162;80;Anonymous;false;"Brazil";3436;90;"Jan 22 17:18:14"
213.131.41.6;8080;Transparent;false;"Georgia";913;84;"Jan 22 17:18:10"
121.204.0.20;1080;Socks5;true;"China";30;54;"Jan 22 17:18:09"
201.77.202.69;8090;Anonymous;false;"Brazil";11897;47;"Jan 22 17:17:58"
200.84.4.80;8080;Distorting;false;"Venezuela";10381;87;"Jan 22 17:17:55"
201.75.25.198;3128;Transparent;false;"Brazil";1542;83;"Jan 22 17:17:45"
200.42.56.146;8080;Transparent;false;"Argentina";12520;76;"Jan 22 17:17:42"
201.65.24.245;3128;Transparent;false;"Brazil";1508;89;"Jan 22 17:17:40"
201.64.247.3;8080;Transparent;false;"Brazil";12728;93;"Jan 22 17:17:38"
207.182.158.171;80;Transparent;false;"United States";9450;77;"Jan 22 17:17:30"
200.31.107.98;3128;Transparent;false;"Peru";8242;93;"Jan 22 17:17:29"
180.245.254.56;8080;Distorting;false;"Indonesia";42656;80;"Jan 22 17:17:02"
200.196.51.130;8080;Transparent;false;"Brazil";12789;91;"Jan 22 17:17:02"
200.109.181.197;8080;Distorting;false;"Venezuela";6043;70;"Jan 22 17:16:40"
164.77.220.197;3128;Transparent;false;"Chile";1080;93;"Jan 22 17:16:37"
198.15.119.111;8080;Transparent;false;"United States";3660;84;"Jan 22 17:16:33"
198.101.240.130;3128;Transparent;false;"United States";1449;96;"Jan 22 17:16:29"
197.255.212.141;8080;Transparent;false;"Nigeria";3702;63;"Jan 22 17:16:28"
180.242.183.226;8080;Transparent;false;"Indonesia";2484;74;"Jan 22 17:16:16"
180.241.113.26;3128;Transparent;false;"Indonesia";15586;87;"Jan 22 17:16:12"
190.82.89.155;3128;Transparent;false;"Chile";2739;61;"Jan 22 17:15:59"
195.205.110.24;3128;Transparent;false;"Poland";4585;50;"Jan 22 17:15:38"
195.112.255.99;8080;Transparent;false;"Russian Federation";1297;98;"Jan 22 17:15:33"
187.16.62.130;8080;Transparent;false;"Brazil";1393;69;"Jan 22 17:15:17"
187.115.202.219;3128;Transparent;false;"Brazil";6889;75;"Jan 22 17:15:15"
103.28.36.35;1080;Socks4;true;"Viet Nam";30;79;"Jan 22 17:15:13"
186.93.127.145;8080;Distorting;false;"Venezuela";4935;60;"Jan 22 17:15:07"
193.17.184.49;3128;Transparent;false;"Poland";2158;88;"Jan 22 17:14:17"
186.47.16.6;3128;Transparent;false;"Ecuador";2586;89;"Jan 22 17:14:02"
178.61.187.61;80;Transparent;false;"Kuwait";1539;68;"Jan 22 17:13:47"
178.48.2.237;8080;Transparent;false;"Hungary";3675;62;"Jan 22 17:13:46"
178.18.17.250;8080;Transparent;false;"Netherlands";463;90;"Jan 22 17:13:42"
190.25.231.8;3128;Transparent;false;"Colombia";1261;94;"Jan 22 17:13:40"
190.211.106.190;8080;Transparent;false;"Costa Rica";3449;98;"Jan 22 17:13:24"
190.204.147.157;8080;Distorting;false;"Venezuela";10284;41;"Jan 22 17:13:20"
190.203.11.41;8080;Transparent;false;"Venezuela";31382;88;"Jan 22 17:13:10"
186.200.58.162;3128;Transparent;false;"Brazil";2026;97;"Jan 22 17:13:05"
190.200.223.82;8080;Distorting;false;"Venezuela";34231;96;"Jan 22 17:12:23"
190.0.61.194;8080;Transparent;false;"Colombia";3542;96;"Jan 22 17:12:20"
190.0.14.11;3128;Transparent;false;"Colombia";1024;97;"Jan 22 17:12:16"
190.200.152.199;8080;Distorting;false;"Venezuela";16710;65;"Jan 22 17:11:48"
189.23.119.226;3128;Transparent;false;"Brazil";19236;94;"Jan 22 17:11:43"
89.203.137.3;1080;Socks4;true;"Czech Republic";30;75;"Jan 22 17:11:41"
177.70.9.79;80;Anonymous;false;"Brazil";10912;35;"Jan 22 17:11:15"
190.15.196.184;8080;Transparent;false;"Argentina";7477;52;"Jan 22 17:11:09"
156.154.112.238;80;Transparent;false;"United States";6625;54;"Jan 22 17:10:34"
180.250.130.186;8080;Transparent;false;"Indonesia";3309;93;"Jan 22 17:10:27"
190.146.132.205;8080;Transparent;false;"Colombia";4881;93;"Jan 22 17:10:14"
190.145.26.2;3128;Transparent;false;"Colombia";3844;96;"Jan 22 17:10:09"
180.247.163.75;8080;Transparent;false;"Indonesia";12448;87;"Jan 22 17:10:08"
190.128.138.114;3128;Transparent;false;"Paraguay";1425;97;"Jan 22 17:10:04"
190.121.135.178;8080;Transparent;false;"Colombia";1328;68;"Jan 22 17:10:02"
125.160.70.156;3128;Transparent;false;"Indonesia";20296;81;"Jan 22 17:10:00"
187.95.108.30;3128;Transparent;false;"Brazil";1343;94;"Jan 22 17:09:42"
187.93.113.10;3128;Transparent;false;"Brazil";2687;97;"Jan 22 17:09:41"
